row_index,true_label,predicted_label,correct,confidence_top1,rank2_label,rank2_confidence,rank3_label,rank3_confidence,in_shap_sample,reason_codes,text
0,card_arrival,card_arrival,True,0.0415,getting_spare_card,0.0391,order_physical_card,0.0357,True,card|locate,How do I locate my card?
1,card_arrival,card_arrival,True,0.7454,card_linking,0.0141,balance_not_updated_after_cheque_or_cash_deposit,0.0125,False,,"I still have not received my new card, I ordered over a week ago."
2,card_arrival,card_arrival,True,0.3003,request_refund,0.0258,card_linking,0.0235,False,,I ordered a card but it has not arrived. Help please!
3,card_arrival,card_arrival,True,0.1636,card_delivery_estimate,0.1126,declined_card_payment,0.0246,False,,Is there a way to know when my card will arrive?
4,card_arrival,card_arrival,True,0.1898,card_linking,0.0437,activate_my_card,0.0279,False,,My card has not arrived yet.
5,card_arrival,getting_spare_card,False,0.1343,order_physical_card,0.1287,card_arrival,0.1051,False,,When will I get my card?
6,card_arrival,card_arrival,True,0.9131,card_about_to_expire,0.01,activate_my_card,0.0044,False,,Do you know if there is a tracking number for the new card you sent me?
7,card_arrival,card_arrival,True,0.194,card_linking,0.0666,card_delivery_estimate,0.0308,False,,i have not received my card
8,card_arrival,card_arrival,True,0.4276,pending_top_up,0.0282,getting_spare_card,0.0178,False,,still waiting on that card
9,card_arrival,card_arrival,True,0.4268,card_about_to_expire,0.0593,activate_my_card,0.0518,False,,Is it normal to have to wait over a week for my new card?
10,card_arrival,card_arrival,True,0.7312,lost_or_stolen_card,0.0122,getting_spare_card,0.009,False,,How do I track my card?
11,card_arrival,card_delivery_estimate,False,0.5139,card_arrival,0.0825,pending_top_up,0.0288,False,,How long does a card delivery take?
12,card_arrival,card_arrival,True,0.1006,reverted_card_payment?,0.05,order_physical_card,0.0329,False,,I still don't have my card after 2 weeks.  What should I do?
13,card_arrival,card_arrival,True,0.6857,card_about_to_expire,0.0624,activate_my_card,0.0521,False,,still waiting on my new card
14,card_arrival,card_arrival,True,0.5123,pending_top_up,0.0175,balance_not_updated_after_cheque_or_cash_deposit,0.0151,True,waiting card|week|card week|waiting|card,I am still waiting for my card after 1 week.  Is this ok?
15,card_arrival,card_arrival,True,0.1296,top_up_by_card_charge,0.0441,transfer_not_received_by_recipient,0.0436,False,,"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?"
16,card_arrival,card_arrival,True,0.1388,pending_top_up,0.0533,transfer_not_received_by_recipient,0.0339,False,,I've been waiting longer than expected for my card.
17,card_arrival,card_delivery_estimate,False,0.3117,card_arrival,0.2214,order_physical_card,0.0498,False,,Why hasn't my card been delivered?
18,card_arrival,card_arrival,True,0.657,card_about_to_expire,0.0319,activate_my_card,0.0275,False,,Where is my new card? I have been waiting a week!
19,card_arrival,card_arrival,True,0.5219,transfer_not_received_by_recipient,0.0312,lost_or_stolen_card,0.0223,False,,My card still hasn't arrived after 2 weeks. Is it lost?
20,card_arrival,lost_or_stolen_card,False,0.1811,card_linking,0.0659,card_arrival,0.0544,False,,"I did not get my card yet, is it lost?"
21,card_arrival,card_arrival,True,0.2375,request_refund,0.0205,country_support,0.0185,False,,Status of the card I ordered.
22,card_arrival,card_arrival,True,0.373,card_delivery_estimate,0.2244,card_about_to_expire,0.0339,False,,How long should my new card take to arrive?
23,card_arrival,card_arrival,True,0.2693,reverted_card_payment?,0.064,card_delivery_estimate,0.0264,False,,I ordered my card 2 weeks ago and it still isn't here? What do I do?
24,card_arrival,card_arrival,True,0.1898,card_linking,0.0437,activate_my_card,0.0279,False,,"My card has not arrived yet, where is it?"
25,card_arrival,card_arrival,True,0.4314,country_support,0.0204,card_delivery_estimate,0.0174,False,,What is the tracking number for my card that was mailed?
26,card_arrival,card_arrival,True,0.1519,card_delivery_estimate,0.0536,wrong_amount_of_cash_received,0.0465,False,,I think something went wrong with my card delivery as I haven't received it yet.
27,card_arrival,card_arrival,True,0.4568,card_delivery_estimate,0.139,pending_top_up,0.0746,False,,"I'm still waiting for delivery of my new card, why is it taking so long?"
28,card_arrival,card_arrival,True,0.4778,balance_not_updated_after_cheque_or_cash_deposit,0.0329,request_refund,0.0233,False,,"I ordered a card a week ago, and it's still not here. What do I do?"
29,card_arrival,card_arrival,True,0.8109,card_about_to_expire,0.0075,transfer_not_received_by_recipient,0.007,False,,i want to track the card you sent
30,card_arrival,card_arrival,True,0.5521,transfer_not_received_by_recipient,0.0494,balance_not_updated_after_bank_transfer,0.0215,False,,My card hasn't arrived yet.
31,card_arrival,card_arrival,True,0.4778,card_linking,0.0335,card_about_to_expire,0.032,False,,I was expecting my new card and am wondering why I haven't received it yet?
32,card_arrival,card_delivery_estimate,False,0.1516,card_arrival,0.1097,declined_card_payment,0.0298,True,arrive|card arrive|card|know|know card,How do I know when my card will arrive?
33,card_arrival,card_arrival,True,0.4507,card_delivery_estimate,0.1265,order_physical_card,0.0299,False,,I'm still waiting on my card to be delivered.
34,card_arrival,card_arrival,True,0.5572,transfer_not_received_by_recipient,0.0156,card_delivery_estimate,0.0148,False,,Does the card you sent have a way to track to it?
35,card_arrival,card_arrival,True,0.4308,reverted_card_payment?,0.0365,request_refund,0.0231,False,,I ordered a card and I still haven't received it. It's been two weeks. What can I do?
36,card_arrival,lost_or_stolen_card,False,0.2297,card_arrival,0.1481,transfer_not_received_by_recipient,0.0367,False,,"I'm starting to think my card is lost because it still hasn't arrived, can you help?"
37,card_arrival,card_arrival,True,0.1502,country_support,0.0371,verify_source_of_funds,0.0304,False,,Is there tracking info available?
38,card_arrival,card_arrival,True,0.7353,transfer_not_received_by_recipient,0.0155,card_about_to_expire,0.0078,False,,What is the tracking number for the card you sent?
39,card_arrival,card_arrival,True,0.7353,transfer_not_received_by_recipient,0.0155,card_about_to_expire,0.0078,False,,Where is the tracking number for the card you sent me?
40,card_linking,card_linking,True,0.3882,card_not_working,0.0491,cash_withdrawal_not_recognised,0.0262,False,,Why won't my card show up on the app?
41,card_linking,card_linking,True,0.5741,getting_spare_card,0.0214,order_physical_card,0.0127,False,,I would like to reactivate my card.
42,card_linking,card_linking,True,0.8785,card_arrival,0.0239,card_about_to_expire,0.0132,False,,Where do I link the new card?
43,card_linking,cash_withdrawal_not_recognised,False,0.1088,card_linking,0.1083,card_arrival,0.0558,False,,"I have received my card, can you help me put it in the app?"
44,card_linking,card_linking,True,0.7915,card_arrival,0.0066,card_delivery_estimate,0.0064,True,link|link card|card,How do I link a card that I already have?
45,card_linking,card_arrival,False,0.2521,card_linking,0.1929,card_payment_not_recognised,0.037,False,,"I received my new card, but I don't see it in the app anywhere.  What do I do?"
46,card_linking,card_linking,True,0.8109,supported_cards_and_currencies,0.008,top_up_failed,0.0078,False,,How do I re-add a card to the app?
47,card_linking,getting_spare_card,False,0.1686,card_linking,0.0859,supported_cards_and_currencies,0.0523,False,,How do I add the card to my account?
48,card_linking,card_linking,True,0.0919,age_limit,0.0578,activate_my_card,0.0348,False,,Can I put my old card back into the system? I just found it/
49,card_linking,card_linking,True,0.6015,getting_spare_card,0.0771,supported_cards_and_currencies,0.0298,False,,"I have one of your cards already, how do I link it?"
50,card_linking,card_linking,True,0.8785,card_arrival,0.0239,card_about_to_expire,0.0132,False,,How do I link a new card?
51,card_linking,card_linking,True,0.6221,card_arrival,0.0115,getting_spare_card,0.0115,True,link|card|existing,Can I link an existing card?
52,card_linking,card_linking,True,0.7915,card_arrival,0.0066,card_delivery_estimate,0.0064,True,link|link card|card,How do I link one your card if I have one already?
53,card_linking,card_linking,True,0.8109,supported_cards_and_currencies,0.008,top_up_failed,0.0078,False,,How do I add a card to the app?
54,card_linking,card_linking,True,0.8785,card_arrival,0.0239,card_about_to_expire,0.0132,False,,Can I link my new card?
55,card_linking,card_delivery_estimate,False,0.0401,getting_spare_card,0.0389,card_linking,0.0352,False,,"Hello, I found the card I misplaced and I need to reactive it, how do I do that?"
56,card_linking,card_linking,True,0.4138,getting_spare_card,0.0692,supported_cards_and_currencies,0.0339,False,,Can you tell me how to link one of your cards that I already have?
57,card_linking,card_linking,True,0.3281,cash_withdrawal_not_recognised,0.0279,card_arrival,0.0233,False,,How do I view the card I received in the app?
58,card_linking,card_linking,True,0.4977,card_arrival,0.0136,country_support,0.0135,False,,Where on the website do I go to link my card?
59,card_linking,card_linking,True,0.3026,supported_cards_and_currencies,0.0361,cash_withdrawal_not_recognised,0.0333,False,,"I found my card, can I add it to the app?"
60,card_linking,card_linking,True,0.4068,topping_up_by_card,0.1327,supported_cards_and_currencies,0.1233,False,,How do I link to my credit card with you?
61,card_linking,card_linking,True,0.0745,card_arrival,0.0412,card_payment_not_recognised,0.0362,False,,I've received my card so now I need to know how to sync it to the app.
62,card_linking,card_linking,True,0.2867,getting_spare_card,0.0336,card_arrival,0.0261,False,,"I found my card, I would like to reactivate it."
63,card_linking,card_linking,True,0.8785,card_arrival,0.0239,card_about_to_expire,0.0132,True,link|link new|new card|card|new,How do I link this new card?
64,card_linking,card_linking,True,0.368,lost_or_stolen_card,0.0528,top_up_failed,0.0163,False,,Can I reactivate my lost card that I found this morning in my jacket pocket?
65,card_linking,card_linking,True,0.6221,card_arrival,0.0115,getting_spare_card,0.0115,False,,how do I link an already existing card?
66,card_linking,card_linking,True,0.1232,unable_to_verify_identity,0.0884,wrong_amount_of_cash_received,0.0308,False,,The app doesn't show the card I received.
67,card_linking,card_linking,True,0.7915,card_arrival,0.0066,card_delivery_estimate,0.0064,False,,how do I link a card I already have?
68,card_linking,card_linking,True,0.7462,getting_spare_card,0.0161,country_support,0.008,False,,I would like to link my card. How do I do it?
